gene,LFC_TB_PBMC,LFC_Sepsis,LFC_Dengue
ABRACL,0.0285159214268117,-0.569232825366207,-0.587752408383653
ACAA1,-0.0333763757070832,0.506520616211839,-0.729084317878235
ACP5,-0.158218076514486,-1.69721805504269,-0.82487071213245
ACTB,-0.0258841823003812,0.146950926317448,-0.235809223601571
ACTG1,-0.0059271210503888,0.526154863269847,0.607390178931391
ADAR,-0.160508109299351,-0.733935488865547,-1.90765371782574
AGTPBP1,-0.278512349463921,0.900196845565788,0.986905606824789
AIF1,-0.970850722960176,0.630158064395904,-0.496791768940588
AIP,-0.0675727272804602,-0.511021573884853,-0.791112536439384
ALDH2,-0.760979178978148,1.00826368102038,1.82410761174553
ALKBH7,-0.136939321505261,0.319879132952457,0.613364111987368
ALOX5AP,0.130417379109709,-0.344092709268534,-0.337024464629437
ANAPC16,-0.0510831071746183,-0.125472506405454,-0.467357566047211
ANP32A,0.0316013925717333,-0.372020931055109,-1.02162752402402
ANXA1,-0.607782435536746,-0.537862799181144,1.41732611285185
ANXA2,-0.20959476134069,-0.245687236305643,0.236648994412585
ANXA5,-0.11361585151469,-0.257432727279686,0.33905446515203
ANXA6,-0.279025662248561,-0.40302086938288,-0.904658427680562
AOAH,-0.663240158701988,-0.089334676118847,0.448934695527301
APOBEC3G,-0.297901254830672,-1.01143470823429,-0.16604704886373
APOL6,-0.354604037690945,-1.20674299864873,-1.66125491325394
AREG,0.305264345513295,2.1042752989529,2.58587617643139
ARFGAP3,-0.0887336740203378,0.500167960299792,1.66221382665276
ARHGAP24,2.70205676171764,-0.848162053940237,-0.1635780352651
ARHGAP25,-0.123923014549287,-1.73619998961145,-1.14523781705353
ARID3A,2.5212387220014,-1.34575158025697,0.234330766334459
ARID5A,-0.0866641980816452,-0.0699661152839962,0.932949449764599
ARL2,-0.160643272703143,-1.19462690220887,-2.50326970928641
ARL4A,-0.0725514928049527,-0.0335128675241,0.904379917190892
ARPC1B,-0.0894361658390832,-0.33176416662463,-0.665587232977822
ARPC2,-0.048091937451779,0.238033976154628,0.101309928029807
ARPC3,0.0487590447983283,0.304311844121466,-0.300472602601469
ARPC4,0.0246483652786316,-0.168117390005149,-1.87026317502138
ARRDC2,0.408168229312291,0.101089773428861,0.802104396845807
ATP1B3,-0.124657137666982,0.928670384487183,1.68018951462292
ATP2B1,-0.0806642089046088,0.53250312427305,1.30641993699886
ATP6V0D1,-0.0900992224734614,-0.115076699731721,0.441421464833459
ATP6V1G1,-0.087314541641595,-0.257888510250683,0.083881200246071
ATRAID,-0.077912807583712,-0.0971127393026333,-0.184429854467884
B2M,-0.118894188595534,-0.413252891120395,-0.538518065359889
B4GALT1,0.0649789064168482,-0.709233130838523,1.40375258891289
BACH1,-0.323526878862523,-0.124467581718956,1.00100705633124
BANF1,0.077662029293981,-0.72272765835986,-1.00377126081496
BASP1,1.74881503741298,-0.0739681304813363,1.99343090918181
BAX,0.0533080153686452,-0.584939216206373,-0.870660413186445
BCL2A1,-0.409296825375765,0.972495825126798,1.90588445847835
BCL3,1.15658308067346,0.706228428062652,1.06688245699703
BHLHE40,-0.182345975994932,0.308964145303041,1.87152109588716
BLOC1S1,-0.206761048588392,-0.063866602547502,-1.04509755967018
BNIP3L,-0.0546301044603854,0.419882255544477,0.811083889938411
BST2,0.0102399817909902,-1.35128181994947,-2.05337676650493
BTF3,-0.0472365298016347,0.266016711436273,0.64533751862145
BTG1,-0.11576207226052,0.0448086211178253,0.831800412816163
BTG2,-0.0750556425174024,0.141355042116599,1.34887506921807
BTN3A2,-0.282227176036383,-1.20338626924908,-0.19292999277964
BZW1,-0.0610635429678128,0.275575598032714,0.245051271120663
C12orf75,-0.0933560826615076,-0.371692674231822,0.283696084811949
C1orf162,-0.124601519744584,-0.0937277177203305,-0.656191686115659
CALM2,0.053269351075784,-0.608236775230569,0.105829176429232
CALR,-0.0559379571672792,0.295557207006271,-0.718605306659134
CARD16,-0.29830621217552,-0.367032429581976,-1.22986562687243
CASP1,-0.342520124984729,-0.439229847459667,-1.22284144527109
CCDC85B,-0.135927319779054,-0.910758708391086,-0.839260118599269
CCL5,-0.976536143172567,0.571864009582868,0.390789283893752
CCND3,-0.260471911353589,-0.4054656046837,-1.06440301234034
CCNH,-0.154922496550339,0.590682774252945,0.637399832214859
CCNL1,-0.196658302281691,0.250498356922065,-0.70314230521979
CCR7,-1.01666668800688,-0.846439818080864,0.909758780567456
CD19,6.38038635213017,-0.823068689426777,-1.22702661616915
CD27,-1.00094751903347,-0.818431024457405,-1.34105067481178
CD37,-0.09439936881711,-0.179257826736631,-0.091574416780178
CD3D,-1.60307249840549,-0.701417905174884,-1.23676700819017
CD3E,-1.40448435607604,-0.777513761031606,-1.16013983028948
CD3G,-1.12370699431312,-1.38456018426364,-1.49866483556868
CD4,-0.862751388901994,-0.383778288011234,0.269648328895634
CD44,-0.25904858979245,0.170354044087796,1.02962880328153
CD52,-0.265774157751241,-0.256019057560264,0.110503134624228
CD53,-0.047742204331976,-0.346203843638735,-0.522783245866811
CD55,-0.142223267606253,0.484596522774642,1.30941073399392
CD58,-0.0886083027589694,0.29698900162599,0.23691749050158
CD63,-0.245532232305087,0.313602748496828,0.0047168926332524
CD69,-0.507351275847805,0.318460037398174,-0.623196928400995
CD74,-0.0976438969110241,-0.0012702152134492,0.251678626844524
CD79B,-0.817183145047156,-0.767622945212438,-2.10687315942624
CD82,-0.35788507696026,-1.30338994656741,-0.0396710651652086
